Id,Prediction
0,4288810.707
1,3941550.68
2,4428734.419
3,3699151.02
4,4719617.16
5,4992233.196
6,4386499.947
7,4524413.408
8,5223530.716
9,4155819.424
10,4922068.861
11,4895762.156
12,5519071.884
13,5960103.525
14,4652487.279
15,5994674.931
16,5874858.767
17,4194273.691
18,6990451.344
19,4493748.127
20,3448226.38
21,6189961.317
22,4748768.295
23,6013403.212
24,5631409.019
25,3891747.554
26,3491489.556
27,5277157.81
28,4602968.957
29,4785212.729
30,5345531.415
31,3664404.627
32,4176681.035
33,5099763.981
34,3565850.684
35,5076240.274
36,4470679.095
37,4604662.765
38,3204072.861
39,4423592.069
40,5212797.56
41,4826204.387
42,4989441.825
43,5292708.108
44,5386126.745
45,4206378.879
46,3980548.301
47,3053969.397
48,5427865.986
49,4802040.418
50,5014172.84
51,4545555.893
52,5395013.334
53,3697858.923
54,3398663.667
55,5022299.198
56,5716022.965
57,4608436.328
58,4842561.026
59,5425481.851
60,3471204.518
61,3749646.747
62,4085580.124
63,4530746.781
64,4896755.45
65,6652064.822
66,5188815.111
67,6632444.276
68,5314814.686
69,5087314.827
70,4278943.258
71,4244692.916
72,4662924.787
73,3865553.532
74,5855809.283
75,4672229.793
76,5042856.545
77,4592522.079
78,5116973.435
79,4776861.02
80,5613585.041
81,5288539.175
82,4539837.216
83,4884998.146
84,6533459.015
85,2050606.542
86,5217296.815
87,6680602.2
88,4836682.492
89,4368901.113
90,5386259.39
91,4768768.689
92,3663284.607
93,5547318.195
94,5827024.717
95,4208943.31
96,4956868.876
97,4893739.426
98,4317334.768
99,5260969.296
100,4613103.733
101,2591151.529
102,4401330.964
103,3935986.438
104,3845876.682
105,3468959.276
106,5254106.978
107,5181008.984
108,5604217.511
109,4852436.729
110,5178904.538
111,4714633.0
112,6019236.926
113,4512655.822
114,4355035.635
115,5312047.719
116,3568244.491
117,5630263.339
118,3892081.969
119,4824251.143
120,5340195.512
121,5266910.032
122,5127476.816
123,6418580.978
124,4120563.994
125,4218424.76
126,5723322.853
127,4102485.68
128,4969711.712
129,4380733.803
130,3212831.957
131,5079130.3
132,5992523.259
133,3705091.121
134,4535929.051
135,4151696.36
136,4691012.195
137,4065980.332
138,5092593.752
139,4720480.762
140,6100795.063
141,3081749.963
142,5309718.733
143,3805163.661
144,5165120.895
145,4145270.265
146,5327807.051
147,3878984.288
148,5089341.052
149,5010349.041
150,4295718.023
151,3440106.365
152,6030393.127
153,6442769.21
154,3696415.143
155,5540025.99
156,5011750.476
157,6116572.584
158,4500063.563
159,4120205.586
160,3864486.839
161,4384275.573
162,4012965.855
163,6624965.395
164,6234901.542
165,3842957.433
166,4888241.446
167,4519695.808
168,5062831.52
169,5562268.013
170,4442885.192
171,3864029.995
172,4279083.199
173,5356131.133
174,6065245.991
175,3945874.78
176,7680714.724
177,5244635.545
178,4610466.142
179,4258042.791
180,4612319.142
181,4447373.756
182,4868351.278
183,4309323.447
184,4849367.159
185,3420241.326
186,3718098.437
187,6460851.646
188,6075575.646
189,4904446.417
190,4682095.362
191,5315594.786
192,5881252.854
193,5095706.256
194,5101966.093
195,6232116.827
196,4248482.597
197,2849681.269
198,4551738.138
199,5187256.95
200,4643561.146
201,4323033.4
202,4783024.341
203,5349757.729
204,5364513.445
205,5606969.19
206,5266426.943
207,4636826.88
208,5129993.033
209,4028444.252
210,5354410.971
211,4845988.127
212,4215969.809
213,4008901.642
214,6257065.246
215,2314670.61
216,4938036.3
217,5349981.969
218,4637945.727
219,3302545.249
220,6065336.986
221,5151936.003
222,5820493.103
223,4257095.301
224,5140164.405
225,4804580.629
226,4444574.604
227,6763877.817
228,3681064.245
229,5397561.283
230,5033166.095
231,6863060.879
232,5462010.611
233,4924930.218
234,4261728.972
235,5104270.815
236,4543132.895
237,3627326.001
238,4850574.101
239,5372304.553
240,4721450.616
241,4146288.861
242,4009172.101
243,4654639.811
244,4909492.243
245,6651762.451
246,4101690.402
247,4968966.809
248,4804389.559
249,4532103.045
250,3823818.836
251,5078723.306
252,5291901.452
253,4495188.959
254,5017643.821
255,4555565.326
256,4971900.172
257,4191689.536
258,3990603.307
259,4253776.226
260,4506152.196
261,5519081.979
262,5509361.828
263,4080647.34
264,2761791.513
265,5486558.014
266,4704718.257
267,7053473.394
268,4873727.122
269,4321183.315
270,4041193.545
271,3286691.297
272,5083682.171
273,4970709.483
274,4012611.839
275,7404180.835
276,6738340.748
277,5722431.051
278,4940876.004
279,4585023.128
280,5486607.978
281,4429123.502
282,3652671.764
283,4024244.859
284,5308740.521
285,3246721.65
286,5144744.05
287,4499245.425
288,4913184.917
289,4354422.665
290,4677437.905
291,4730002.954
292,3781743.389
293,5076970.326
294,3747135.328
295,6283288.871
296,6218352.495
297,6318056.37
298,5443974.871
299,5520478.995
300,5088871.087
301,5470690.776
302,5410467.523
303,6087841.962
304,4360753.533
305,5325599.58
306,3949571.756
307,4817922.932
308,2564744.92
309,4377894.733
310,4536248.586
311,3957255.878
312,4049078.484
313,4596718.835
314,4300860.704
315,4356129.376
316,3723936.821
317,4635360.558
318,5567183.547
319,4750379.982
320,5212119.32
321,4258711.476
322,4369767.718
323,5454314.783
324,4483599.786
325,4756316.249
326,5639838.316
327,4827034.948
328,4705058.187
329,6957401.9
330,5161032.351
331,6047500.675
332,4951382.338
333,6517197.717
334,5923568.743
335,4962069.57
336,3082458.424
337,4922342.845
338,4587098.365
339,4187771.979
340,5159529.929
341,4535730.674
342,4968986.207
343,5163211.95
344,4762922.633
345,4295971.164
346,4446922.236
347,5399166.999
348,3937309.019
349,5186221.716
350,4553751.18
351,6012022.885
352,5974716.097
353,4266745.439
354,3993867.525
355,5830279.824
356,5744505.475
357,4828748.081
358,4914726.956
359,5279463.102
360,4380733.803
361,4593318.79
362,4301933.441
363,4884275.516
