Id,Prediction
0,4391570.947
1,3753911.076
2,2143512.312
3,5211709.822
4,6010043.687
5,6807529.76
6,3354721.327
7,4766671.836
8,9585948.113
9,3437028.969
10,11547836.203
11,5285108.979
12,2248679.916
13,5563648.923
14,7170761.095
15,8571554.675
16,9033584.232
17,1661905.611
18,10822584.207
19,6512950.074
20,3260419.203
21,5065531.442
22,3846794.541
23,3830283.039
24,9865325.813
25,6843904.868
26,3324412.41
27,6474822.201
28,3605492.201
29,6266624.393
30,8536095.737
31,2420077.174
32,1892763.604
33,5406791.509
34,2026228.489
35,3936241.468
36,3719549.728
37,14913020.494
38,4345659.387
39,-1502569.792
40,5922923.074
41,3564125.644
42,16668926.738
43,4891525.378
44,7485605.204
45,3524637.464
46,5798956.368
47,-985244.824
48,-2726074.157
49,3813454.137
50,4705536.825
51,4134225.727
52,5661855.447
53,4405416.168
54,3071710.194
55,6719694.026
56,5476157.087
57,3383171.966
58,3702886.185
59,1531623.536
60,3382190.057
61,3169366.268
62,4539858.166
63,5528665.525
64,7660754.486
65,3472825.052
66,3806748.987
67,5594922.239
68,7881287.412
69,5107621.443
70,3318668.528
71,2396535.343
72,1334483.917
73,4182437.36
74,6707013.829
75,3223927.957
76,5144395.041
77,4137821.869
78,3266834.501
79,-1043318.226
80,9885786.482
81,5944833.746
82,5449421.164
83,4019509.988
84,7674934.592
85,2909103.976
86,6620389.365
87,7028086.364
88,2363973.665
89,10158526.049
90,6604941.855
91,4101528.169
92,4944072.153
93,4454562.499
94,7444073.9
95,789756.801
96,1469515.732
97,3892356.301
98,4764016.586
99,8874205.124
100,5626686.627
101,2633004.424
102,7291585.329
103,5038365.072
104,5092936.233
105,-2974416.485
106,6232101.189
107,6668557.819
108,5199338.005
109,8351583.184
110,6517481.648
111,15147570.268
112,7777304.266
113,3869313.658
114,7244354.696
115,5247399.764
116,1999443.285
117,6547487.148
118,5365579.164
119,4810393.199
120,7637134.316
121,4345119.696
122,8797197.566
123,6209617.4
124,3675427.964
125,-3077990.518
126,5879856.844
127,3186452.653
128,16370219.977
129,6862459.886
130,3197484.016
131,12718947.361
132,6282155.778
133,4875425.187
134,-1488692.179
135,1072508.408
136,3559012.317
137,5102203.265
138,11213259.261
139,4185989.775
140,11897787.665
141,3254978.415
142,5209035.343
143,2851582.246
144,5997707.44
145,-2711061.626
146,1841225.462
147,3741022.677
148,4337756.173
149,7364968.774
150,4977245.461
151,3232083.274
152,4848877.466
153,13868718.42
154,5530050.821
155,5158645.031
156,4098393.936
157,9657020.776
158,8739556.194
159,3140171.088
160,3810006.494
161,6675834.676
162,794222.924
163,5903036.587
164,3582729.544
165,1933056.19
166,885400.309
167,4019710.3
168,3921077.38
169,7744848.597
170,2951024.044
171,2227001.891
172,-4991021.48
173,3501679.549
174,6753709.179
175,3764096.465
176,8292295.099
177,3991730.308
178,4271616.717
179,4838743.514
180,4457882.526
181,4410930.874
182,-230978.907
183,4494124.787
184,1417246.295
185,3860117.158
186,3777739.86
187,6399760.683
188,6563184.673
189,2973621.237
190,2278262.918
191,4786478.525
192,6672515.872
193,4352616.912
194,8241897.01
195,4538683.189
196,2650379.667
197,4083282.342
198,3840966.206
199,5429449.155
200,1359031.487
201,5078065.079
202,3843865.215
203,7395675.563
204,5528752.614
205,7078708.529
206,1662614.086
207,1966250.022
208,5914904.632
209,4207400.254
210,6460095.469
211,5113631.624
212,3114084.508
213,4472549.553
214,7727596.393
215,2454595.294
216,6517365.273
217,4827226.667
218,4007764.692
219,2492773.488
220,6388995.294
221,-358087.205
222,3469704.412
223,5879052.349
224,5478067.599
225,3246628.229
226,4357534.393
227,8121387.526
228,2741585.57
229,15812415.745
230,6497714.111
231,13042044.593
232,7131345.458
233,1216248.649
234,4325489.409
235,1711801.123
236,7930622.899
237,3519282.025
238,9267897.097
239,4933302.48
240,2042821.083
241,3339155.86
242,1008828.184
243,5457480.301
244,5281667.712
245,4679932.058
246,5151297.445
247,4878194.128
248,2918487.299
249,3559560.682
250,-1541822.943
251,4519095.592
252,3497471.089
253,797722.867
254,4830884.911
255,4822576.294
256,6459584.525
257,4615160.065
258,782299.018
259,4592920.592
260,6655264.235
261,1523052.897
262,6236149.377
263,4357814.438
264,2806139.571
265,5454364.211
266,5227080.738
267,4604316.623
268,3097990.922
269,2771829.653
270,2801451.874
271,3967048.027
272,8264314.406
273,4532564.662
274,2630366.674
275,7762795.377
276,7208885.497
277,7055194.87
278,5016012.432
279,4567955.334
280,4268158.135
281,6013426.239
282,2647662.053
283,672639.243
284,5119900.956
285,1206446.179
286,580635.72
287,-5112788.272
288,3325251.187
289,1913895.879
290,-801837.485
291,1828913.843
292,2276454.687
293,6026614.305
294,5322298.424
295,11836437.013
296,6184847.446
297,7925918.505
298,6157146.937
299,7370169.608
300,3431548.996
301,6133185.86
302,7510354.148
303,8486821.132
304,3900987.881
305,4304873.381
306,2985959.359
307,4118954.195
308,2678803.052
309,4827408.467
310,3799043.386
311,3776122.383
312,3266484.367
313,-690619.187
314,-1966310.995
315,2053015.654
316,2739710.8
317,4815459.796
318,3971615.784
319,4430472.743
320,3495578.197
321,3514537.297
322,3077065.785
323,-1192982.552
324,1707003.111
325,3393554.925
326,4062398.678
327,5486047.341
328,4428610.464
329,5904738.311
330,4286633.199
331,6939890.527
332,5693131.422
333,7987155.591
334,9088572.776
335,5199302.987
336,1785873.65
337,6184660.981
338,5168491.278
339,1286014.598
340,5217991.001
341,4778228.874
342,2061562.192
343,7054671.945
344,6963828.393
345,3188304.677
346,4412155.44
347,7641131.82
348,2038813.672
349,6207422.012
350,4172436.995
